,IdCalle,Direccion,Tipo_de_via
0,7218e910edd04a019fa69a482cf32823,"PSC 6457, Box 8839
APO AP 36474",Calle principal
1,6a2a08be54784751a90c93d2a4630b9b,"0772 Ronald Crest Apt. 216
New Deborah, NJ 95647",Calle principal
2,2151097d29bb4eda857fb46138eb0c05,"803 Griffin Glens Suite 366
Estradamouth, IA 14354",Escalinatas
3,dfcad69f69ae4f25a419180b9f1bb942,"2107 Tamara Freeway Suite 173
Sarahberg, PR 23636",Calle principal
4,281e754f6cda4696b77812a4b0967831,"575 Alisha Point Apt. 251
West Sethside, CA 07395",Calle principal
5,95c263c6f763468686db86726f4df816,"961 Tiffany Brook
Port Seantown, AS 55178",Escalinatas
6,3b1ff7f1d2e74ded827aaae66e60f892,"0765 Armstrong Turnpike Suite 933
Rebeccatown, ID 23701",Callejones
7,be9d0e5d1fd74835bb78ff745bee59e4,"785 Davila Ways
Gloriabury, GA 66760",Calle principal
8,1cfa8cf465b34189b58ca8cd63584826,"0514 Collins Cliff
West Katelyn, MI 96136",Calle principal
9,068253e4d8cc4738bc6085a60b576d48,"PSC 7257, Box 1094
APO AA 42971",Calle principal
10,abae0bd8389a40d1b97b003fffa8c7be,"394 Phillip Rapid
Garzahaven, OH 69348",Calle principal
11,5f73b744fff341748a5cc042c837031f,"92122 Haynes River Suite 995
Smithfort, AS 51084",Callejones
12,75be90253d1047168f825152e27bf576,"344 Austin Pass
Rachelshire, NJ 84414",Calle principal
13,3f26fe92d7f04723978643d1675602c3,"789 Garcia Lake Suite 414
Mcfarlandfurt, MI 72544",Escalinatas
14,a214dac5a5c64327ae00e420c3248a06,"70984 Victoria Mountain Apt. 608
Brittanyfort, GA 51550",Calle principal
15,9eaee8a6d37e4339a0586787c92156b4,"212 Hubbard Ridge Suite 247
Port Angelaville, PW 64251",Calle principal
16,0b709c4944314068849ee5d2182fac8e,"8666 Brown Union
Lake Lorifort, NJ 33709",Calle principal
17,eb8006f83cfe46428978a8da0caa78ff,"2686 Steve Manors Suite 273
West Anthony, AR 14474",Escalinatas
18,e3a4a55afddc420892be7bed174a53a6,"PSC 8771, Box 3168
APO AE 51353",Calle principal
19,349f9d71438c44a1a2d12fdb2490452c,"811 Thompson Landing
South Anthony, MO 37708",Escalinatas
20,f732cd3f33e64f48812388a191cc69ad,"335 Taylor Dam Apt. 566
South Courtneyshire, FM 24611",Calle principal
21,7160bb68bf374ff4ac0b7bd8559cb654,"632 Shaun Radial
Port Evelyn, GA 43166",Calle principal
22,78316831c6fc4abeaa37983ac533a020,"PSC 8920, Box 2805
APO AP 74048",Calle principal
23,ed64578bf993471ebf2ff05718151743,"527 Murphy Tunnel
East Jamesstad, AS 08559",Calle principal
24,9eba525111f843b9b99316c81adf32a9,"7209 Holt Cliff Apt. 960
Lake David, MH 69670",Calle principal
